,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,MOV,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season
0,Phoenix,82,48.2,110.4,40.9,85.6,0.47700000000000004,9.7,24.7,0.39299999999999996,19.0,25.4,0.748,11.8,32.3,44.1,23.5,7.0,5.5,13.7,19.1,0.5710000000000001,0.534,161.8,27.5,68.3,48.9,57.5,12.4,7.2,7.5,1.3,70.9,114.5,107.2,7.4,7904.8,95.9,7.1,1.575,1.7,0.5,0.222,62,20,0.7559999999999999,2005
1,Sacramento,82,48.4,103.7,39.1,85.1,0.45899999999999996,6.4,17.0,0.374,19.2,24.4,0.787,12.5,29.9,42.4,24.5,8.2,3.9,13.0,20.5,0.541,0.496,162.0,28.8,69.0,48.9,62.6,12.0,8.8,5.6,1.2,65.1,110.5,108.2,2.3,7694.9,93.0,2.2,1.626,1.9,0.6,0.226,50,32,0.61,2005
2,Dallas,82,48.1,102.5,37.3,81.6,0.457,5.6,15.5,0.364,22.3,28.2,0.789,12.1,30.9,42.9,19.6,8.6,5.6,13.5,22.3,0.545,0.49200000000000005,161.0,28.6,70.2,49.9,52.6,12.5,9.3,8.6,1.3,62.5,110.3,104.1,6.2,7619.9,92.7,5.7,1.526,1.5,0.6,0.273,58,24,0.7070000000000001,2005
3,Miami,82,48.7,101.5,37.8,77.7,0.486,5.8,15.4,0.377,20.2,30.1,0.672,10.8,32.2,43.0,21.8,6.4,5.8,13.7,22.1,0.5589999999999999,0.524,153.6,27.0,74.1,51.5,57.8,13.1,7.0,8.7,1.3,62.6,110.2,103.1,7.1,7556.4,90.8,6.5,1.578,1.6,0.5,0.26,59,23,0.72,2005
4,Boston,82,48.5,101.3,37.1,79.4,0.46799999999999997,5.3,15.3,0.349,21.6,28.3,0.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,0.551,0.501,158.1,27.2,70.1,49.1,59.4,14.7,8.6,8.0,1.3,59.3,107.5,106.6,0.9,7723.4,93.2,0.9,1.594,1.4,0.5,0.273,45,37,0.5489999999999999,2005
5,Washington,82,48.2,100.5,36.2,82.9,0.43700000000000006,6.3,18.3,0.34299999999999997,21.9,30.2,0.725,13.8,29.0,42.8,19.1,8.7,4.2,14.3,22.0,0.523,0.474,150.5,31.1,70.0,49.9,52.7,12.9,9.3,6.5,1.2,57.5,107.2,107.5,-0.4,7689.1,93.3,-0.3,1.527,1.3,0.6,0.264,45,37,0.5489999999999999,2005
6,Toronto,82,48.3,99.7,36.0,81.2,0.444,7.9,20.5,0.385,19.8,25.6,0.774,10.3,29.8,40.1,20.4,7.6,3.9,13.3,22.9,0.539,0.49200000000000005,160.3,23.7,71.1,47.0,56.6,12.6,8.1,5.8,1.2,57.1,106.9,108.7,-1.7,7648.6,92.7,-1.6,1.5659999999999998,1.5,0.6,0.244,33,49,0.402,2005
7,Denver,82,48.2,99.5,37.0,80.7,0.45899999999999996,3.9,11.5,0.34,21.5,28.2,0.763,11.8,30.2,42.0,23.9,9.1,6.0,15.0,22.9,0.535,0.483,156.3,28.4,71.7,50.2,64.5,13.8,9.7,9.3,1.2,62.6,106.0,103.8,2.2,7698.8,93.5,2.0,1.645,1.6,0.6,0.267,49,33,0.598,2005
8,Orlando,82,48.1,99.5,37.0,81.5,0.45399999999999996,3.9,11.2,0.349,21.6,28.5,0.759,12.7,31.0,43.7,19.3,7.7,5.4,16.1,23.6,0.529,0.478,156.2,29.9,71.3,50.9,52.2,14.7,8.1,8.0,1.2,56.7,104.9,107.3,-2.4,7777.7,94.7,-2.2,1.5219999999999998,1.2,0.5,0.265,36,46,0.439,2005
9,Philadelphia,82,48.4,99.1,35.9,82.1,0.43700000000000006,6.2,17.7,0.348,21.1,26.8,0.789,11.1,30.9,42.0,20.9,9.2,3.9,15.5,22.9,0.528,0.475,157.4,25.4,72.7,48.8,58.0,14.2,9.6,6.3,1.2,56.8,103.5,104.2,-0.8,7855.6,95.0,-0.7,1.58,1.3,0.6,0.257,43,39,0.524,2005
